,temperature,el_loadprofile,th_loadprofile,heatpump,bev_at_home,bev_battery,bev,pv,current_demand,current_production,temp_residual,current_residual,home_battery_soc,electrical_storage_charge,electrical_storage_discharge,done,action,reward,bev_charge_flag,heatpump_flag,thermal_storage,th_soc,cost,specific_cost
51,17.75,0.0003839333333333333,0.08678053110885418,1.7715800035564466,1,16.0,0.0,-0.0001,1.77196393688978,-0.0001,1.77206393688978,1.77206393688978,0.0,0.0,0.0,True,2,0.0,0,1,58.392635859077245,417743.7211824373,0.443007984222445,0.25000959387470933
52,17.6,0.0004115333333333334,0.08320389316727451,1.7779745086816365,1,16.0,0.0,-0.0001,1.77838604201497,-0.0001,1.77848604201497,1.77848604201497,0.0,0.0,0.0,True,2,0.0,0,1,58.917905592351076,418405.56104636233,0.4446135105037425,0.2500095592293227
53,17.375,0.00046133333333333324,0.07703889882060429,1.787619317304831,1,16.0,0.0,-0.0001,1.7880806506381643,-0.0001,1.7881806506381643,1.7881806506381643,0.0,0.0,0.0,True,2,0.0,0,1,59.443685579590635,419068.04383028415,0.4470371626595411,0.25000950740113087
54,17.15,0.00042533333333333323,0.07087390447393405,1.7973281225675692,1,16.0,0.0,-0.0001,1.7977534559009025,-0.0001,1.7978534559009025,1.7978534559009025,0.0,0.0,0.0,True,2,0.0,0,1,59.96997512982699,419731.16866358195,0.4494553639752256,0.2500094562465972
55,16.925,0.00044666666666666677,0.06470891012726382,0.0,1,16.0,0.0,-0.0001,0.00044666666666666677,-0.0001,0.0005466666666666668,0.0005466666666666668,0.0,0.0,0.0,True,0,0.0,0,0,59.50605348027551,419146.62738514715,0.00012866666666666669,0.2880597014925373
56,16.7,0.00026406666666666667,0.05854391578059359,0.0,1,16.0,0.0,-0.0001,0.00026406666666666667,-0.0001,0.00036406666666666666,0.00036406666666666666,0.0,0.0,0.0,True,0,0.0,0,0,59.043981614687425,418564.41683450615,8.301666666666666e-05,0.31437768240343344
57,16.7,0.0004248,0.05073178553977484,0.0,1,16.0,0.0,-0.0001,0.0004248,-0.0001,0.0005248000000000001,0.0005248000000000001,0.0,0.0,0.0,True,0,0.0,0,0,58.58408339826542,417984.94508181437,0.0001232,0.2900188323917137
58,16.7,0.00021619999999999997,0.042919655298956076,0.0,1,16.0,0.0,-0.0001,0.00021619999999999997,-0.0001,0.0003162,0.0003162,0.0,0.0,0.0,True,0,0.0,0,0,58.12635588752619,417408.208418283,7.104999999999999e-05,0.3286308973172988
59,16.7,0.00033360000000000003,0.035107525058137315,0.0,1,16.0,0.0,-0.0001,0.00033360000000000003,-0.0001,0.0004336,0.0004336,0.0,0.0,0.0,True,4,0.0,0,0,57.67079614297256,416834.2031401454,0.0001004,0.30095923261390883
60,16.7,0.0002276,0.02729539481731856,0.0,1,16.0,0.0,-0.0001,0.0002276,-0.0001,0.0003276,0.0003276,0.0,0.0,0.0,True,4,0.0,0,0,57.217401229087784,416262.92554865056,7.39e-05,0.3246924428822495
